노선번호,노선형태,노선구분,노선유형,기점ID,종점ID,첨두시배차간격,비첨두시대차간격,노선총길이,노선개정번호,노선경유개정번호,관할관청,노선표준ID,운행개시일,운행종료일,BCP_ID,노선명,노선ID
260번,1,0,13,82,61,184,436,9532.7,1001,1001,구미시,355000270,20110101,20501231,1003,(구 125번)구미역_다식_괴평,26010
28-1번,1,0,13,82,187,0,0,28331.1,1001,1001,구미시,355002088,20110101,20501231,1003,(구 27번)구미역_원호동_대망_고아_지산_구미역_원호동,28-110
71-1번,3,0,13,435,435,172,172,58560.9,1001,1001,구미시,355002092,20110101,20501231,1003,(구 21-1번)선산_선산읍사무소_안곡1리_선산,71-130
28번,3,0,13,82,79,157,157,25684.2,1001,1001,구미시,355002216,20110101,20301231,1003,(구 27번)구미역_고아_대망_원호_구미역,2830
5100번,1,0,12,4042,883,125,125,39741.3,1001,1001,구미시,355002003,19000101,20300101,1003,김천_김천(구미)역_구미터미널옆_공단본부_황상동,510010
710번,3,0,12,435,435,100,436,34804.4,1001,1001,구미시,355000266,20110101,20301231,1003,(구 121번)선산_안곡_선산,71030
882번,1,0,13,80,2623,181,181,23430.1,1001,1001,구미시,355000172,20110101,20301231,1003,(구 47번)구미역_성곡,88210
72번,3,0,13,435,435,136,136,25263.7,1001,1001,구미시,355002056,20110101,20301231,1003,(구 39-1번)선산_옥성삼거리(산촌입구)_선산,7230
72-1번,3,0,13,435,435,330,330,33316.8,1001,1001,구미시,355002098,20110101,20501231,1003,(구 39-1번)선산_산촌입구_용포분교_산촌입구_선산,72-130
72-3번,3,2,13,435,435,17,17,47557.2,1001,1001,구미시,355000129,20110101,20301231,1003,(구 37번)선산_선산읍사무소_대원_산촌_낙동_교리e편한세상_선산읍사무소_선산,72-332
72-7번,3,0,13,435,435,245,245,23595,1001,1001,구미시,355000135,20110101,20301231,1003,(구 39번)선산_주아_옥성_선산,72-730
74-4번,3,0,13,435,435,157,157,60187.3,1001,1001,구미시,355000117,20110101,20301231,1003,(구 30번)선산_해평도리사_선산,74-430
