정류장ID,정류장표준ID,정류장타입,중앙차로구분,한글명칭,단축명,X좌표,Y좌표,검출헤딩값,링크ID,링크선상의X좌표,링크선상의Y좌표,링크내정류장순번,링크내정류장거리,출발판단거리,도착판단거리,개정번호,관할관청,정류장서비스ID,정류장서비스이름
556,355000607,0,0,어구산입구(산촌리),어구산입구,128.246226 ,36.309968 ,195,3550116600,128.246299 ,36.309944 ,3,6271.1,50,50,1099,,10556,어구산입구
2331,355002342,0,0,어로1리입구,어로1리입구,128.336288 ,36.048306 ,111,3690014300,128.336321 ,36.048377 ,5,3022.3,50,50,1335,,12331,어로1리입구
2332,355002343,0,0,어로1리,어로1리,128.336508 ,36.048509 ,291,3690026100,128.336477 ,36.048444 ,2,875.3,50,50,1335,,12332,어로1리
2335,355002346,0,0,에스지,에스지,128.423465 ,35.972142 ,201,3690007900,128.423526 ,35.972121 ,2,735.1,50,50,,,12335,에스지
2336,355002347,0,0,에스케이주유소,에스케이주유소,128.405456 ,35.962568 ,235,3690015300,128.405461 ,35.962521 ,1,24.7,50,50,,,12336,에스케이주유소
2337,355002348,0,0,에스케이주유소건너,에스케이주유소건너,128.405175 ,35.962230 ,66,3690032800,128.405147 ,35.962283 ,2,715.8,50,50,1061,,12337,에스케이주유소건너
2338,355002349,0,0,에스피엔디고개입구,에스피엔디고개입구,128.433125 ,36.047372 ,323,3690016700,128.433141 ,36.047379 ,2,1352.5,50,50,,,12338,에스피엔디고개입구
2339,355002350,0,0,에스피엔디 고개,에스피엔디 고개,128.432958 ,36.047465 ,148,3690034100,128.432939 ,36.047457 ,2,2301.5,50,50,,,12339,에스피엔디 고개
557,355000417,0,0,에이에스티앞,에이에스티앞,128.447913 ,36.140314 ,186,3550109300,128.447994 ,36.140314 ,1,42.8,50,50,1073,,10557,에이에스티앞
558,355000345,0,0,엘지디스플레이(시미동),엘지디스플레이,128.410436 ,36.097361 ,180,3550005300,128.410501 ,36.097361 ,2,915.8,50,50,,,10558,엘지디스플레이
560,355000649,0,0,LG디스플레이건너,LG디스플레이건,128.410699 ,36.098258 ,359,3550048200,128.410627 ,36.098258 ,3,1179.8,50,50,1073,,10560,LG디스플레이건너
559,355000388,0,0,"엘지디스플레이2,3공장",엘지디스플레이공장,128.408656 ,36.111125 ,272,3550133600,128.408656 ,36.111060 ,1,98.9,50,50,1265,,10559,엘지디스플레이
561,355000346,0,0,SK실트론건너,SK실트론,128.410469 ,36.091954 ,181,3550005300,128.410546 ,36.091954 ,3,1515.8,50,50,1289,,10561,엘지실트론
562,355000650,0,0,SK실트론앞,SK실트론,128.410748 ,36.092472 ,359,3550048200,128.410677 ,36.092472 ,2,537.7,50,50,1285,,10562,LG실트론앞
563,355000409,0,0,엘지연수원건너,엘지연수원,128.385718 ,36.121051 ,3,3550012000,128.385658 ,36.121052 ,1,163.3,50,50,,,10563,엘지연수원
564,355000710,0,0,엘지연수원앞,엘지연수원,128.385472 ,36.121309 ,176,3550054800,128.385532 ,36.121308 ,1,161.7,50,50,,,10564,엘지연수원
565,355000377,0,0,엘지이노텍앞,엘지이노텍,128.413627 ,36.127016 ,269,3550008800,128.413627 ,36.126953 ,3,838.9,50,50,,,10565,엘지이노텍
566,355000682,0,0,엘지이노텍건너,엘지이노텍,128.413560 ,36.126781 ,96,3550051300,128.413559 ,36.126844 ,3,2266.5,50,50,,,10566,엘지이노텍
567,355000476,0,0,엘지PDP옆,엘지PDP옆,128.381900 ,36.109831 ,181,3550099900,128.381981 ,36.109799 ,1,112.5,50,50,1072,,10567,엘지PDP옆
568,355000428,0,0,여남리(장천버스터미널종점방면),여남리,128.528062 ,36.123904 ,286,3550013900,128.528071 ,36.123925 ,2,1859.5,50,50,1414,,10568,여남리
569,355000726,0,0,여남리(명곡종점방면),여남리,128.528071 ,36.123826 ,108,3550056400,128.528061 ,36.123814 ,2,3183.6,50,50,1388,,10569,여남리
2340,355002351,0,0,연호2리 월곡농장입구,연호2리 월곡농장입구,128.506851 ,35.934317 ,84,3690006900,128.506856 ,35.934297 ,1,3126.1,50,50,,,12340,연호2리 월곡농장입구
2341,355002352,0,0,연호2리 월곡농장,연호2리 월곡농장,128.506641 ,35.934327 ,260,3690024300,128.506630 ,35.934345 ,1,1897.9,50,50,,,12341,연호2리 월곡농장
2342,355002353,0,0,연화입구,연화입구,128.449391 ,35.965027 ,291,3690006100,128.449365 ,35.964978 ,1,136.4,50,50,,,12342,연화입구
2343,355002354,0,0,연화,연화,128.449320 ,35.964805 ,114,3690023500,128.449351 ,35.964865 ,1,153.7,50,50,,,12343,연화
4218,355004229,0,0,연화리1/매곡(종점),연화리,128.449991 ,35.854028 ,205,1570001200,128.450010 ,35.854021 ,2,1346.1,50,50,,,14218,연화리
4219,355004230,0,0,연화리2,연화리,128.450506 ,35.854687 ,30,1570000400,128.450516 ,35.854682 ,2,2108.4,50,50,,,14219,연화리
570,355000769,0,0,봉곡e편한세상앞,봉곡e편한세상앞,128.313357 ,36.154161 ,279,3550064100,128.313355 ,36.154125 ,2,555.3,50,50,1162,,10570,봉곡e편한세상앞
571,355000314,0,0,영남에너지서비스앞,영남에너지서비스,128.376764 ,36.093594 ,179,3550101200,128.376834 ,36.093594 ,3,954.8,50,50,1278,,10571,영남에너지서비스
572,355000623,0,0,영남에너지서비스건너,영남에너지서비스,128.377021 ,36.093087 ,354,3550101400,128.376981 ,36.093095 ,1,51.4,50,50,1071,,10572,영남에너지서비스
2344,355002355,0,0,영진주유소,영진주유소,128.551584 ,35.963288 ,3,3690032000,128.551512 ,35.963291 ,1,203.7,50,50,,,12344,영진주유소
573,355000715,0,0,영진하이텍건너,영진하이택,128.451314 ,36.140763 ,89,3550055200,128.451314 ,36.140759 ,1,292.1,50,50,,,10573,영진하이택
574,355000416,0,0,영진하이텍앞,영진하이텍,128.451734 ,36.140862 ,271,3550012500,128.451734 ,36.140866 ,1,228.8,50,50,,,10574,영진하이텍
4220,355004231,0,0,예2리경노당,예2리경노당,128.261936 ,36.193255 ,510,3530006500,128.261940 ,36.193246 ,2,1285.9,50,50,,,14220,예2리경노당
4221,355004232,0,0,예2리마을회관앞,예2리마을회관,128.261491 ,36.189418 ,332,3530006500,128.261514 ,36.189430 ,1,826.2,50,50,,,14221,예2리마을회관
4222,355004233,0,0,예2리마을회관건너,예2리마을회관,128.261453 ,36.189327 ,137,3530003300,128.261414 ,36.189325 ,1,467.8,50,50,,,14222,예2리마을회관
576,355000739,0,0,예강1리(고아119안전센터건너),예강1리,128.339298 ,36.200340 ,307,3550124500,128.339185 ,36.200259 ,2,1893.3,50,50,1141,,10576,예강1리
575,355000311,0,0,예강1리(고아119안전센터앞),예강1리,128.339678 ,36.199701 ,121,3550124400,128.339755 ,36.199831 ,1,1150,50,50,1141,,10575,예강1리
2345,355002356,0,0,예비군대대,예비군대대,128.433420 ,36.025360 ,40,3690025700,128.433424 ,36.025356 ,1,59.8,50,50,,,12345,예비군대대
578,355000882,0,0,예산초등학교(내고2리방면),예산초등학교,128.268190 ,36.215573 ,58,3550080700,128.268202 ,36.215559 ,1,121.2,50,50,,,10578,예산초등학교
270,355000498,0,0,무을정류장(새마을금고건너),무을정류장,128.193667 ,36.261572 ,289,3550112100,128.193563 ,36.261492 ,1,183,50,50,1092,,10270,무을정류장
317,355000762,0,0,복지상가앞,복지상가,128.385223 ,36.103735 ,186,3550062700,128.385276 ,36.103735 ,2,798.1,50,50,,,10317,복지상가
2203,355002214,0,0,복지회관건너,복지회관건너,128.416063 ,35.988169 ,121,3690032900,128.416096 ,35.988205 ,4,1551.5,50,50,1414,,12203,복지회관건너
2204,355002215,0,0,봉계,봉계,128.453497 ,35.999605 ,510,3690033800,128.453489 ,35.999612 ,6,3395.1,50,50,,,12204,봉계
318,355000503,0,0,봉곡(죽장2리방면),봉곡,128.260886 ,36.248119 ,148,3550024200,128.260863 ,36.248108 ,1,643.2,50,50,,,10318,봉곡
319,355000791,0,0,봉곡(덕촌1리방면),봉곡,128.261022 ,36.248096 ,313,3550066700,128.261040 ,36.248110 ,2,194.3,50,50,1413,,10319,봉곡
321,355000828,0,0,봉곡네거리(선주고등학교방면),봉곡네거리,128.310331 ,36.140543 ,137,3550069400,128.310430 ,36.140613 ,1,94.4,50,50,,,10321,봉곡네거리
320,355000605,0,0,봉곡네거리(부곡새마을방면),봉곡네거리,128.311137 ,36.140295 ,332,3550041500,128.311041 ,36.140224 ,1,227.6,50,50,,,10320,봉곡네거리
289,355000779,0,0,문성새마을(농산물도매시장방면),문성새마을,128.349993 ,36.150306 ,19,3550065100,128.349930 ,36.150324 ,1,475,50,50,,,10289,문성새마을
4122,355004133,0,0,문성중학교건너,문성중학교,128.147309 ,36.118828 ,275,3530038700,128.147421 ,36.118828 ,3,791,50,50,1406,,14122,문성중학교
4123,355004134,0,0,문성중학교앞,문성중학교,128.146921 ,36.118765 ,70,3530040800,128.146808 ,36.118749 ,5,1930,50,50,1406,,14123,문성중학교
290,355000896,0,0,송림네거리(송림방면),송림네거리,128.355047 ,36.163268 ,60,3550082000,128.355053 ,36.163261 ,1,151.9,50,50,1112,,10290,송림네거리
291,355000600,0,0,문성지구 출발,문성지구 출발,128.355492 ,36.163587 ,244,3550039800,128.355486 ,36.163594 ,1,106.9,50,50,,,10291,문성지구 출발
4124,355004135,0,0,문양3리 장귀미,문양3리 장귀미,128.423683 ,35.879375 ,5,1570000800,128.423703 ,35.879374 ,2,853.2,50,50,,,14124,문양3리 장귀미
4126,355004137,0,0,문양리 입구,문양리,128.424250 ,35.867025 ,145,1570000700,128.424282 ,35.867041 ,2,1448.6,50,50,,,14126,문양리
4127,355004138,0,0,문양리 용두골,문양리 용두골,128.424352 ,35.867197 ,325,1570001500,128.424327 ,35.867185 ,1,1415.1,50,50,,,14127,문양리 용두골
4125,355004136,0,0,문양리,문양리,128.435429 ,35.857391 ,343,1570001200,128.435394 ,35.857383 ,4,3244,50,50,,,14125,문양리
4128,355004139,0,0,문양역,문양역,128.437936 ,35.864256 ,510,1570001400,128.437929 ,35.864249 ,1,1,50,50,,,14128,문양역
2175,355002186,0,0,문화아파트,문화아파트,128.407668 ,35.988660 ,106,3690032900,128.407662 ,35.988693 ,2,780.4,50,50,1414,,12175,문화아파트
293,355000845,0,0,문화예술회관후문앞,문화예술회관후문,128.349436 ,36.118722 ,124,3550073100,128.349448 ,36.118734 ,1,172.9,50,50,,,10293,문화예술회관후문
292,355000546,0,0,문화예술회관후문건너,문화예술회관후문,128.349030 ,36.119128 ,300,3550030800,128.349020 ,36.119114 ,1,274.6,50,50,,,10292,문화예술회관후문
2176,355002187,0,0,물류단지,물류단지,128.445182 ,35.955288 ,273,3690006500,128.445184 ,35.955318 ,1,41.9,50,50,,,12176,물류단지
2177,355002188,0,0,물류단지입구,물류단지입구,128.445077 ,35.955121 ,354,3690023900,128.445112 ,35.955128 ,6,2656.2,50,50,,,12177,물류단지입구
295,355000804,0,0,미광아파트앞,미광아파트,128.321489 ,36.130999 ,74,3550067300,128.321485 ,36.131011 ,3,754.4,50,50,,,10295,미광아파트
294,355000518,0,0,미광아파트건너,미광아파트,128.321223 ,36.131079 ,257,3550025200,128.321235 ,36.131069 ,1,64.8,50,50,,,10294,미광아파트
2178,355002189,0,0,미군부대,미군부대,128.413807 ,36.003882 ,227,3690015000,128.413820 ,36.003873 ,5,2548,50,50,,,12178,미군부대
2179,355002190,0,0,미군부대건너,미군부대건너,128.413707 ,36.003575 ,39,3690032500,128.413694 ,36.003584 ,4,1594.7,50,50,,,12179,미군부대건너
2180,355002191,0,0,중어동 입구,중어동 입구,128.530701 ,35.997734 ,109,3690014800,128.530694 ,35.997716 ,3,2183.7,50,50,,,12180,중어동 입구
2181,355002192,0,0,중어동 맞은편,중어동 맞은편,128.531106 ,35.997695 ,290,3690032300,128.531113 ,35.997713 ,10,2849.2,50,50,1052,,12181,중어동 맞은편
296,355000837,0,0,미성빌라,미성빌라,128.336350 ,36.116453 ,101,3550147600,128.336591 ,36.116413 ,2,697,50,50,1420,,10296,미성빌라
2182,355002193,0,0,미실영청건너,미실영청건너,128.489704 ,35.918763 ,160,3690006400,128.489746 ,35.918774 ,3,2163.3,50,50,,,12182,미실영청건너
2183,355002194,0,0,미실영청,미실영청,128.491103 ,35.916215 ,340,3690023800,128.491062 ,35.916203 ,5,3993.6,50,50,,,12183,미실영청
297,355000588,0,0,외예리(새터방면),바깥연흥,128.282380 ,36.183618 ,243,3550039100,128.282368 ,36.183638 ,2,2269.5,50,50,1425,,10297,바깥연흥
298,355000636,0,0,외예리(안연흥방면),바깥연흥,128.282420 ,36.183517 ,62,3550045400,128.282408 ,36.183534 ,1,913.9,50,50,1425,,10298,바깥연흥
2184,355002195,0,0,박실(발샘)건너,박실건너,128.427013 ,36.018557 ,197,3690015000,128.426992 ,36.018562 ,1,206.5,50,50,1387,,12184,박실건너
2185,355002196,0,0,박실(발샘),박실,128.427112 ,36.018519 ,17,3690032500,128.427101 ,36.018513 ,9,3975.6,50,50,1387,,12185,박실
402,355000275,0,0,상모로타리앞,상모로타리앞,128.351320 ,36.088696 ,510,3550031300,128.351330 ,36.088692 ,2,369.3,50,50,,,10402,상모로타리앞
299,355000863,0,0,박정희대통령생가건너,박정희대통령생가,128.350419 ,36.088052 ,358,3550128500,128.350326 ,36.088063 ,2,1008.5,50,50,1190,,10299,박정희대통령생가건너
302,355000561,0,0,박정희대통령생가앞,박정희대통령생가,128.350068 ,36.088113 ,179,3550128400,128.350149 ,36.088108 ,1,65,50,50,1190,,10302,박정희대통령생가앞
2186,355002197,0,0,반계리샛터입구,반계리샛터입구,128.436311 ,36.029357 ,46,3690025700,128.436326 ,36.029344 ,2,576.6,50,50,,,12186,반계리샛터입구
2187,355002198,0,0,반계리샛터건너,반계리샛터건너,128.436346 ,36.029479 ,229,3690008300,128.436331 ,36.029492 ,2,1256.8,50,50,,,12187,반계리샛터건너
2188,355002199,0,0,반계리 점마,반계리 점마,128.431217 ,36.023057 ,257,3690008200,128.431224 ,36.023052 ,1,246.1,50,50,,,12188,반계리 점마
4129,355004140,0,0,반고개(내당역4번출구방면),반고개,128.567530 ,35.861137 ,253,1560000300,128.567592 ,35.860978 ,2,1395,50,50,,,14129,반고개
4130,355004141,0,0,반고개(반고개역2번출구방면),반고개,128.568422 ,35.860898 ,70,1560000100,128.568362 ,35.861059 ,18,8910.9,50,50,,,14130,반고개
304,355000844,0,0,반석드림빌앞,반석드림빌,128.344068 ,36.116160 ,88,3550072400,128.344066 ,36.116173 ,2,481.3,50,50,,,10304,반석드림빌
303,355000544,0,0,반석드림빌건너,반석드림빌,128.344058 ,36.116295 ,262,3550030100,128.344059 ,36.116282 ,3,1044.4,50,50,,,10303,반석드림빌
81,355000915,0,0,구미역(김천행),구미역(김천행),128.328432 ,36.130215 ,296,3550032400,128.328432 ,36.130215 ,2,180,50,50,,,10081,구미역(김천행)
2189,355002200,0,0,반석호이스트,반석호이스트,128.405531 ,35.940272 ,163,3690033400,128.405547 ,35.940276 ,7,2018.5,50,50,,,12189,반석호이스트
2190,355002201,0,0,반송교,반송교,128.446382 ,35.994166 ,190,3690016300,128.446361 ,35.994171 ,1,1029.8,50,50,,,12190,반송교
2191,355002202,0,0,반송교입구,반송교입구,128.446368 ,35.993964 ,22,3690033800,128.446388 ,35.993957 ,5,2368.1,50,50,,,12191,반송교입구
4131,355004142,0,0,백모교(야동방면),백모교,128.259637 ,36.181073 ,212,3530006300,128.259605 ,36.181086 ,1,315.1,50,50,,,14131,백모교
177,355000553,0,0,대구은행앞,대구은행앞,128.335663 ,36.127183 ,299,3550032200,128.335640 ,36.127150 ,1,119,50,50,,,10177,대구은행앞
230,355000375,0,0,도문1리내미리(도문1리방면),도문1리내미리,128.426284 ,36.224888 ,187,3550008700,128.426271 ,36.224888 ,1,1454,50,50,,,10230,도문1리내미리
